Orden,AnioMes,Area,Linea,Equipo,DenominacionEquipo,Criticidad,TipoMantenimiento,ClaseOrden,EstadoCierre,Trabajo,TrabajoReal,CostoPlan,CostoReal,DiasCierre,RetrasoDias,FlagsCalidad,GrupoPlanificador,Prioridad,MotivoDetencion
400001,2025-01,Servicios,N/A,EQ-0210,Compresor 3,B,Correctivo,PM01,Cerrada,26.9,32.4,1886.7,1610.6,10,0,0,Servicios,Media,
400002,2025-01,Servicios,N/A,EQ-0202,Caldera 2,B,Preventivo,PM02,Cerrada,21.2,20.2,531.5,530.0,7,0,4,Mecánico,Media,
400003,2025-01,Envasado,Línea 2,EQ-0457,Envasadora L2,A,Preventivo,PM03,Cerrada,13.1,12.7,716.5,749.2,6,0,1,Instrumentación,Alta,
400004,2025-01,Servicios,N/A,EQ-0202,Caldera 2,B,Correctivo,PM01,Cerrada,25.7,38.8,1281.9,1351.0,12,0,0,Instrumentación,Media,
400005,2025-01,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Emergencia,PM05,Abierta,19.1,5.6,1322.2,822.4,,1,3,Mecánico,Alta,
400006,2025-01,Proceso,Línea 2,EQ-0320,Mezclador P2,B,Preventivo,PM02,Cerrada,5.4,5.1,218.5,221.8,3,0,1,Instrumentación,Baja,
400007,2025-01,Proceso,Línea 1,EQ-0311,Intercambiador P1,B,Preventivo,PM03,Cerrada,21.1,22.4,742.7,745.0,17,8,17,Eléctrico,Media,
400008,2025-01,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Correctivo,PM01,Cerrada,10.8,16.0,490.2,446.9,10,0,2,Servicios,Baja,
400009,2025-01,Servicios,N/A,EQ-0201,Caldera 1,A,Correctivo,PM01,Cerrada,20.3,25.8,1826.2,1541.7,4,0,2,Eléctrico,Baja,
400010,2025-01,Servicios,N/A,EQ-0202,Caldera 2,B,Preventivo,PM02,Cerrada,19.3,18.1,805.0,775.5,13,0,2,Eléctrico,Media,
400011,2025-01,Proceso,Línea 1,EQ-0331,Bomba de proceso,C,Preventivo,PM02,Cerrada,9.5,10.4,235.9,269.1,13,0,1,Servicios,Media,
400012,2025-01,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Preventivo,PM03,Abierta,25.0,2.6,747.0,12.5,,10,16,Eléctrico,Baja,
400013,2025-01,Proceso,Línea 1,EQ-0311,Intercambiador P1,B,Correctivo,PM01,Cerrada,22.7,42.6,1011.0,1169.3,14,0,0,Eléctrico,Media,
400014,2025-01,Servicios,N/A,EQ-0211,Chiller 1,A,Preventivo,PM03,Cerrada,16.5,17.5,826.0,915.4,10,0,0,Servicios,Baja,
400015,2025-01,Proceso,Línea 1,EQ-0311,Intercambiador P1,B,Correctivo,PM01,Cerrada,3.5,6.7,228.2,284.2,1,0,0,Mecánico,Alta,
400016,2025-01,Proceso,Línea 2,EQ-0330,Bomba CIP,B,Correctivo,PM01,Cerrada,12.3,19.0,644.9,620.4,3,0,4,Eléctrico,Baja,
