AnioMes,Area,Linea,ToneladasProducidas,HorasOperacion,HorasDetencion
2025-01,Envasado,Línea 1,4849.3,631.6,110.0
2025-01,Envasado,Línea 2,4858.2,594.3,101.3
2025-01,Envasado,Línea 3,4230.5,599.2,108.7
2025-01,Proceso,Línea 1,3245.9,625.8,101.0
2025-01,Proceso,Línea 2,3222.6,602.9,102.3
2025-01,Servicios,N/A,0.0,621.9,103.6
2025-01,Bodega,N/A,0.0,618.5,113.6
2025-02,Envasado,Línea 1,4226.2,608.4,88.3
2025-02,Envasado,Línea 2,4756.5,630.5,95.8
2025-02,Envasado,Línea 3,4762.2,605.9,101.2
2025-02,Proceso,Línea 1,3534.3,601.6,101.7
2025-02,Proceso,Línea 2,3466.6,622.9,101.3
2025-02,Servicios,N/A,0.0,592.9,96.6
2025-02,Bodega,N/A,0.0,608.1,102.1
2025-03,Envasado,Línea 1,4483.0,629.2,86.9
2025-03,Envasado,Línea 2,4378.7,623.5,83.3
2025-03,Envasado,Línea 3,4272.2,616.1,90.1
2025-03,Proceso,Línea 1,3134.4,633.9,80.1
2025-03,Proceso,Línea 2,3044.8,608.3,87.6
2025-03,Servicios,N/A,0.0,596.8,84.1
2025-03,Bodega,N/A,0.0,625.9,81.6
2025-04,Envasado,Línea 1,3978.4,614.5,71.2
2025-04,Envasado,Línea 2,4218.4,643.5,73.9
2025-04,Envasado,Línea 3,4233.3,602.5,77.5
2025-04,Proceso,Línea 1,2909.1,633.1,76.2
2025-04,Proceso,Línea 2,3049.5,605.3,74.0
2025-04,Servicios,N/A,0.0,634.5,68.3
2025-04,Bodega,N/A,0.0,632.8,71.1
2025-05,Envasado,Línea 1,4339.1,621.1,68.4
2025-05,Envasado,Línea 2,4082.5,612.3,62.2
2025-05,Envasado,Línea 3,3828.4,616.9,73.2
2025-05,Proceso,Línea 1,2986.5,644.7,71.5
2025-05,Proceso,Línea 2,2923.8,611.7,72.0
2025-05,Servicios,N/A,0.0,605.4,60.9
2025-05,Bodega,N/A,0.0,616.1,70.8
2025-06,Envasado,Línea 1,4535.9,650.0,77.4
2025-06,Envasado,Línea 2,4451.1,625.6,79.0
2025-06,Envasado,Línea 3,4225.3,644.4,72.3
2025-06,Proceso,Línea 1,3239.4,656.5,69.4
2025-06,Proceso,Línea 2,2876.8,656.6,73.1
2025-06,Servicios,N/A,0.0,615.6,65.7
2025-06,Bodega,N/A,0.0,649.9,74.2
2025-07,Envasado,Línea 1,4059.8,640.2,75.3
2025-07,Envasado,Línea 2,4184.4,643.0,71.4
2025-07,Envasado,Línea 3,4298.2,662.1,69.6
2025-07,Proceso,Línea 1,3465.1,617.1,68.0
2025-07,Proceso,Línea 2,3391.1,661.7,70.8
2025-07,Servicios,N/A,0.0,643.9,78.1
2025-07,Bodega,N/A,0.0,631.5,72.0
2025-08,Envasado,Línea 1,4516.2,645.7,71.8
2025-08,Envasado,Línea 2,4024.6,660.1,70.8
2025-08,Envasado,Línea 3,4493.4,636.4,70.1
2025-08,Proceso,Línea 1,3058.0,651.2,71.1
2025-08,Proceso,Línea 2,3189.1,649.0,68.3
2025-08,Servicios,N/A,0.0,666.4,65.8
2025-08,Bodega,N/A,0.0,637.2,63.2
2025-09,Envasado,Línea 1,3991.4,669.4,57.1
2025-09,Envasado,Línea 2,4203.7,661.6,54.1
2025-09,Envasado,Línea 3,4085.5,630.5,53.2
2025-09,Proceso,Línea 1,3005.4,620.7,57.9
2025-09,Proceso,Línea 2,2867.1,637.0,52.2
2025-09,Servicios,N/A,0.0,650.7,62.3
2025-09,Bodega,N/A,0.0,670.2,60.7
2025-10,Envasado,Línea 1,3961.5,667.7,63.1
2025-10,Envasado,Línea 2,4289.0,641.8,51.6
2025-10,Envasado,Línea 3,4284.9,654.4,59.7
2025-10,Proceso,Línea 1,3070.4,664.4,58.9
2025-10,Proceso,Línea 2,2793.2,633.6,57.1
2025-10,Servicios,N/A,0.0,648.8,49.4
2025-10,Bodega,N/A,0.0,663.1,52.0
2025-11,Envasado,Línea 1,4456.6,667.3,64.5
2025-11,Envasado,Línea 2,4255.3,668.4,50.7
2025-11,Envasado,Línea 3,4495.7,657.4,58.7
2025-11,Proceso,Línea 1,2921.8,634.4,62.8
2025-11,Proceso,Línea 2,2942.5,672.4,57.8
2025-11,Servicios,N/A,0.0,628.1,52.9
2025-11,Bodega,N/A,0.0,647.4,59.0
2025-12,Envasado,Línea 1,4605.2,661.2,65.4
2025-12,Envasado,Línea 2,4184.4,664.0,69.3
2025-12,Envasado,Línea 3,4592.5,651.9,52.4
2025-12,Proceso,Línea 1,3190.7,670.1,57.8
2025-12,Proceso,Línea 2,3144.2,671.3,61.2
2025-12,Servicios,N/A,0.0,654.1,67.6
2025-12,Bodega,N/A,0.0,669.1,64.0
