Aviso,AnioMes,Equipo,DenominacionEquipo,Area,Linea,Criticidad,Causa,DuracionParada_h,CategoriaPerdida,LigadoAOrden
900001,2025-01,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Contaminación,7.6,Averías,1
900002,2025-01,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Obstrucción,4.4,Defectos y reproceso,1
900003,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Obstrucción,14.3,Setup y ajustes,1
900004,2025-01,EQ-0470,Paletizador,Envasado,Línea 3,B,Contaminación,9.4,Paradas menores,1
900005,2025-01,EQ-0310,Reactor P1,Proceso,Línea 1,A,Ajuste incorrecto,12.3,Defectos y reproceso,1
900006,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,4.1,Averías,1
900007,2025-01,EQ-0470,Paletizador,Envasado,Línea 3,B,Falta de lubricación,8.6,Defectos y reproceso,1
900008,2025-01,EQ-0470,Paletizador,Envasado,Línea 3,B,Desgaste,1.7,Defectos y reproceso,1
900009,2025-01,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,2.8,Paradas menores,1
900010,2025-01,EQ-0210,Compresor 3,Servicios,N/A,B,Obstrucción,8.4,Paradas menores,1
900011,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,8.0,Averías,1
900012,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Fatiga de material,11.7,Paradas menores,1
900013,2025-01,EQ-0330,Bomba CIP,Proceso,Línea 2,B,Desgaste,3.2,Setup y ajustes,1
900014,2025-01,EQ-0311,Intercambiador P1,Proceso,Línea 1,B,Obstrucción,8.3,Pérdida de velocidad,1
900015,2025-01,EQ-0310,Reactor P1,Proceso,Línea 1,A,Desalineamiento,12.4,Setup y ajustes,1
900016,2025-01,EQ-0462,Etiquetadora L2,Envasado,Línea 2,B,Contaminación,5.1,Averías,1
900017,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Fatiga de material,6.9,Averías,0
900018,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Ajuste incorrecto,5.3,Averías,0
900019,2025-01,EQ-0461,Etiquetadora L1,Envasado,Línea 1,A,Obstrucción,9.2,Averías,1
900020,2025-01,EQ-0457,Envasadora L2,Envasado,Línea 2,A,Desalineamiento,5.0,Pérdida de velocidad,1
900021,2025-01,EQ-0310,Reactor P1,Proceso,Línea 1,A,Obstrucción,6.2,Averías,1
